,lines,anomalies,mse,thresholds,counter
sykehjem,3.7857142857142856,18.642857142857142,0.004532258187687571,0.11225149206909066,14
barnehage,3.478485370051635,20.50946643717728,0.006477344365621894,0.12733758047961913,581
barneskole,3.4586466165413534,19.977443609022558,0.006355425680143163,0.13464956109746723,133
ungdomsskole,3.4285714285714284,21.892857142857142,0.00802909800575752,0.1513922191291734,56
senter,3.411764705882353,18.789915966386555,0.004583007755338889,0.1138573354435534,119
hall,3.057142857142857,21.02857142857143,0.01982866828241525,0.23366429193153188,35
